index,LAT,LONG,SPCD,STATECD,PRESENCE
0,31.86,-88.47,110,1,1
1,31.724479,-88.454592,110,1,1
2,31.69,-88.44,110,1,1
3,31.78,-88.44,110,1,1
4,31.81,-88.44,110,1,1
5,31.94,-88.44,110,1,1
6,32.0,-88.44,110,1,1
7,31.946322,-88.436053,110,1,1
8,31.42,-88.42,110,1,1
9,31.72,-88.42,110,1,1
10,31.81,-88.42,110,1,1
11,32.11,-88.42,110,1,1
12,32.17,-88.42,110,1,1
13,32.22,-88.42,110,1,1
14,32.25,-88.42,110,1,1
15,32.31,-88.42,110,1,1
16,31.122253,-88.415705,110,1,1
17,32.259522,-88.414429,110,1,1
18,31.726544,-88.412173,110,1,1
19,31.815714,-88.411089,110,1,1
20,32.21187,-88.410975,110,1,1
21,31.642337,-88.404596,110,1,1
22,32.128284,-88.403493,110,1,1
23,31.841686,-88.391904,110,1,1
24,31.663454,-88.389706,110,1,1
25,32.567824,-88.371628,110,1,1
26,32.379137,-88.364893,110,1,1
27,32.663681,-88.364419,110,1,1
28,32.526158,-88.36284,110,1,1
29,31.942151,-88.362574,110,1,1
30,31.994467,-88.361738,110,1,1
31,31.775196,-88.360815,110,1,1
32,31.56,-88.36,110,1,1
33,31.64,-88.36,110,1,1
34,31.78,-88.36,110,1,1
35,31.81,-88.36,110,1,1
36,31.94,-88.36,110,1,1
37,32.03,-88.36,110,1,1
38,32.08,-88.36,110,1,1
39,32.11,-88.36,110,1,1
40,32.22,-88.36,110,1,1
41,32.25,-88.36,110,1,1
42,32.31,-88.36,110,1,1
43,32.67,-88.36,110,1,1
44,32.035916,-88.357912,110,1,1
45,32.079717,-88.357612,110,1,1
46,32.215563,-88.357179,110,1,1
47,31.808756,-88.35609,110,1,1
48,32.437724,-88.317397,110,1,1
49,32.172759,-88.312711,110,1,1
50,31.984665,-88.31186,110,1,1
51,30.81,-88.31,110,1,1
52,31.42,-88.31,110,1,1
53,31.47,-88.31,110,1,1
54,31.58,-88.31,110,1,1
55,31.64,-88.31,110,1,1
56,31.72,-88.31,110,1,1
57,32.0,-88.31,110,1,1
58,32.03,-88.31,110,1,1
59,32.08,-88.31,110,1,1
60,32.11,-88.31,110,1,1
61,32.22,-88.31,110,1,1
62,32.39,-88.31,110,1,1
63,32.53,-88.31,110,1,1
64,32.387421,-88.309079,110,1,1
65,31.719859,-88.307014,110,1,1
66,31.207842,-88.306668,110,1,1
67,32.036304,-88.304391,110,1,1
68,31.596049,-88.302921,110,1,1
69,31.469618,-88.302552,110,1,1
70,31.71843,-88.302222,110,1,1
71,33.427455,-88.286228,110,1,1
72,33.125009,-88.284726,110,1,1
73,32.75,-88.28,110,1,1
74,32.89,-88.28,110,1,1
75,32.92,-88.28,110,1,1
76,33.11,-88.28,110,1,1
77,33.31,-88.28,110,1,1
78,33.33,-88.28,110,1,1
79,33.42,-88.28,110,1,1
80,33.334372,-88.278987,110,1,1
81,32.925923,-88.271374,110,1,1
82,32.298587,-88.267939,110,1,1
83,32.021068,-88.262898,110,1,1
84,32.876059,-88.262165,110,1,1
85,30.997222,-88.260592,110,1,1
86,32.027681,-88.257855,110,1,1
87,32.432443,-88.257717,110,1,1
