cell_id,presence,point_count,Latitude,Longitude,Tmin01,Tmax07,TD,MAP,PAS,AHM,PPT01,PPT07,CMD01,RH01,RH07,NFFD,DD_0_01,DD5_07,DD_18_07,Rad01,Rad07,Eref01,Eref07,PAS09,PAS04,DD_0_04,DD_0_10,MAR,NFFD10,RH08
x0y0,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y1,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y2,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y3,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y4,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y5,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y6,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y7,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y8,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
x0y9,0,1,43.50941,-93.48425,-15.7,28.9,33.0,806.0,91.0,21.2,20.0,110.0,0.0,56.0,63.0,178.0,325.0,543.0,4.0,5.3,21.6,0.0,154.0,0.0,1.0,4.0,1.0,13.2,20.0,62.0
